[*] Starting mesh node on port 50002...
[*] Listening on 50002
[*] Control API listening on 6002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[MSG] From 83d731f9-6df4-4c7f-9ed4-b491f127236d: hello again (via ('172.24.146.241', 52915))
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
