[*] Starting mesh node on port 50003...
[*] Listening on 50003
[*] Control API listening on 6003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[MSG] From 83d731f9-6df4-4c7f-9ed4-b491f127236d: hello again (via ('172.24.146.241', 43365))
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 83d731f9-6df4-4c7f-9ed4-b491f127236d at 172.24.146.241:50001
